home_team,rolling_home_avg_goals,rolling_home_avg_conceded,rolling_away_avg_goals,rolling_away_avg_conceded
Arsenal,2.0,0.8079470198675497,1.7549668874172186,1.2980132450331126
Aston Villa,1.185430463576159,1.3112582781456954,1.033112582781457,1.7218543046357615
Birmingham City,1.027027027027027,0.8918918918918919,0.972972972972973,1.837837837837838
Blackburn Rovers,1.3066666666666666,1.1866666666666668,1.0133333333333334,2.1333333333333333
Blackpool,1.4444444444444444,1.8888888888888888,1.2777777777777777,2.0555555555555554
Bolton Wanderers,1.36,1.5066666666666666,1.0,1.8133333333333332
Bournemouth,1.2222222222222223,1.8333333333333333,1.1666666666666667,1.6666666666666667
Burnley,1.054054054054054,1.3783783783783783,0.8108108108108109,2.27027027027027
Cardiff City,1.0555555555555556,1.8333333333333333,0.6666666666666666,2.0
Chelsea,2.198675496688742,0.847682119205298,1.6490066225165563,1.033112582781457
Crystal Palace,1.0,1.2857142857142858,1.0714285714285714,1.3035714285714286
Everton,1.6887417218543046,1.099337748344371,1.1986754966887416,1.2317880794701987
Fulham,1.5132743362831858,1.2920353982300885,0.8053097345132744,1.4778761061946903
Hull City,1.0533333333333332,1.4666666666666666,0.8666666666666667,1.7466666666666666
Leicester City,1.6216216216216217,1.054054054054054,1.3513513513513513,1.3513513513513513
Liverpool,1.9403973509933774,0.8807947019867549,1.5629139072847682,1.3377483443708609
Manchester City,2.403973509933775,0.8145695364238411,1.5894039735099337,1.1986754966887416
Manchester United,2.218543046357616,0.7880794701986755,1.6026490066225165,1.0397350993377483
Middlesbrough,0.8888888888888888,1.0555555555555556,0.5555555555555556,1.9444444444444444
Newcastle United,1.4696969696969697,1.378787878787879,0.946969696969697,1.8106060606060606
Norwich City,1.2266666666666666,1.28,0.8533333333333334,2.026666666666667
Portsmouth,1.2702702702702702,1.6216216216216217,0.5945945945945946,1.6486486486486487
Queens Park Rangers,1.0357142857142858,1.3571428571428572,0.9642857142857143,2.0892857142857144
Reading,1.2777777777777777,1.7222222222222223,1.0,2.0
Southampton,1.7333333333333334,1.08,1.0666666666666667,1.2933333333333332
Stoke City,1.3377483443708609,1.0463576158940397,0.7748344370860927,1.5894039735099337
Sunderland,1.1986754966887416,1.1986754966887416,0.9735099337748344,1.7086092715231789
Swansea City,1.425531914893617,1.1808510638297873,1.0,1.5319148936170213
Tottenham Hotspur,1.6821192052980132,0.9006622516556292,1.490066225165563,1.423841059602649
Watford,1.0,0.9444444444444444,1.0,1.5
West Bromwich Albion,1.3333333333333333,1.4242424242424243,0.9621212121212122,1.628787878787879
West Ham United,1.4545454545454546,1.303030303030303,0.9848484848484849,1.5681818181818181
Wigan Athletic,1.1063829787234043,1.4893617021276595,0.9893617021276596,1.851063829787234
Wolverhampton Wanderers,1.1071428571428572,1.6964285714285714,0.9642857142857143,1.8928571428571428
